specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1250.578|9e-05|15.451|0.039|14.777|0.828|-14.978|0.622|2|2|2|-25.0668|25.0668|1250.5852485444088|1250.7943798135511|11572|11587|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1253.805|9e-05|15.451|0.0|14.777|0.0|-14.978|0.0|2|2|2|-25.0668|25.0668|1253.8122672486022|1254.0219381614977|11812|11828|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1250.578|0.00085|16.282|0.044|39.67|1.319|-3.352|0.747|2|2|2|-60.1604|60.1604|1251.393897729331|1251.8958134427087|11632|11669|0.00084|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1253.805|0.00085|16.282|0.0|39.67|0.0|-3.352|0.0|2|2|2|-60.1604|60.1604|1254.623003077396|1255.1262139375037|11873|11911|0.00084|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1317.217|0.00098|14.351|0.017|20.0|0.774|-15.019|0.566|2|2|2|-41.7781|41.7781|1318.326008801283|1318.693134938577|17764|17790|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1370.132|0.00098|14.351|0.0|20.0|0.0|-15.019|0.0|2|2|2|-41.7781|41.7781|1371.2855596996694|1371.6674339608905|22139|22165|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1454.842|0.00098|14.351|0.0|20.0|0.0|-15.019|0.0|2|2|2|-41.7781|41.7781|1456.0668798660176|1456.4723639463423|28544|28573|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1608.4511|0.0009|15.855|0.047|30.37|0.916|-14.515|1.06|2|2|2|-36.7647|36.7647|1609.6977238503603|1610.0922249165358|38504|38527|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1611.2005|0.0009|15.855|0.0|30.37|0.0|-14.515|0.0|2|2|2|-36.7647|36.7647|1612.4492547622756|1612.8444301674044|38664|38687|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1239.9253|0.00093|16.52|0.037|27.07|2.387|-7.044|1.806|2|2|2|-43.4492|43.4492|1240.9001281166745|1241.2595351725033|10610|10637|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1240.3947|0.00093|16.52|0.0|27.07|0.0|-7.044|0.0|2|2|2|-43.4492|43.4492|1241.3698971585175|1241.7294402755042|10646|10673|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71s010/oeb71s010_continuumfit.fits|1358.773|0.0009|13.1|0.081|25.7|5.877|-2.434|4.109|2|2|2|-25.0668|25.0668|1359.8866994777604|1360.113923946739|21197|21213|0.0009|CuII|none|--|./modified_component_groups/input_group_5.VP
