specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1250.578|6e-05|15.518|0.063|11.311|0.778|-2.747|0.541|2|2|2|-21.7246|21.7246|1250.5573711338393|1250.7386185674807|11569|11582|5e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1253.805|6e-05|15.518|0.0|11.311|0.0|-2.747|0.0|2|2|2|-21.7246|21.7246|1253.7843179029724|1253.9660330287277|11809|11823|5e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1250.578|0.00086|20.128|0.108|16.631|0.316|-5.701|0.488|2|2|2|-73.5294|73.5294|1251.3520606629538|1251.965513386926|11628|11674|0.00085|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1253.805|0.00086|20.128|0.0|16.631|0.0|-5.701|0.0|2|2|2|-73.5294|73.5294|1254.5810580543675|1255.1960937359324|11869|11915|0.00085|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1317.217|0.00092|14.332|0.018|19.8|0.836|7.497|0.62|2|2|2|-30.0802|30.0802|1318.2966480268344|1318.5609785644856|17761|17779|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1370.132|0.00092|14.332|0.0|19.8|0.0|7.497|0.0|2|2|2|-30.0802|30.0802|1371.2550194495689|1371.529968625151|22136|22154|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1454.842|0.00092|14.332|0.0|19.8|0.0|7.497|0.0|2|2|2|-30.0802|30.0802|1456.0344514295336|1456.3263996567864|28541|28560|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1611.2005|0.00093|15.576|0.072|23.09|4.502|2.293|3.281|2|2|2|-43.4492|43.4492|1612.4672243333125|1612.934249909817|38664|38691|0.00094|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1239.9253|0.00092|16.508|0.042|21.77|2.129|-3.852|1.577|2|2|2|-36.7647|36.7647|1240.9139496779967|1241.2180632769914|10610|10633|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1240.3947|0.00092|16.508|0.0|21.77|0.0|-3.852|0.0|2|2|2|-36.7647|36.7647|1241.3837239522848|1241.6879526799273|10646|10669|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Brey 77/E140M_1425_0.2x0.2_2192.200_16090/oeb71t010/oeb71t010_continuumfit.fits|1358.773|0.0008|12.99|0.093|19.59|5.408|-1.951|3.678|2|2|2|-25.0668|25.0668|1359.7503737826705|1359.9775982516492|21187|21203|0.0008|CuII|none|--|./modified_component_groups/input_group_5.VP
